Term,Year,Speaker_party,Party_status,utt_annotations
Term 3,2000,DeSUS,Coalition,2.13125
Term 3,2000,LDS,Coalition,1.7793650793650793
Term 3,2000,NSi,Opposition,0.934406779661017
Term 3,2000,SLS+SKD,Coalition,2.0058823529411764
Term 3,2000,SMS,Coalition,2.671666666666667
Term 3,2000,SNS,Opposition,1.2836842105263158
Term 3,2000,ZLSD,Coalition,2.481818181818182
Term 3,2001,ZLSD,Coalition,1.9358870967741937
Term 3,2001,SMS,Coalition,2.011323529411765
Term 3,2001,SLS+SKD,Coalition,1.684863481228669
Term 3,2001,SNS,Opposition,1.284506329113924
Term 3,2001,LDS,Coalition,1.5073455377574372
Term 3,2001,DeSUS,Coalition,2.262
Term 3,2001,NSi,Opposition,1.2442599277978341
Term 3,2002,DeSUS,Coalition,1.9123837209302326
Term 3,2002,LDS,Coalition,1.5677825159914711
Term 3,2002,NSi,Opposition,1.1325393883225208
Term 3,2002,SLS,Coalition,1.5902861952861953
Term 3,2002,SLS+SKD,Coalition,1.2838071065989847
Term 3,2002,SMS,Coalition,1.6776373626373626
Term 3,2002,SNS,Opposition,1.1845806451612904
Term 3,2002,ZLSD,Coalition,1.9662209302325582
Term 3,2003,SMS,Coalition,1.49275
Term 3,2003,SNS,Opposition,1.1899230769230769
Term 3,2003,SLS,Coalition,1.6471978984238178
Term 3,2003,ZLSD,Coalition,2.0592883211678834
Term 3,2003,NSi,Opposition,1.0515349682107176
Term 3,2003,LDS,Coalition,1.7164710610932477
Term 3,2003,DeSUS,Coalition,2.1192934782608694
Term 3,2003,SDS,Opposition,0.8155160142348754
Term 4,2004,ZLSD,Coalition,2.0058333333333334
Term 4,2004,SNS,Opposition,1.7644897959183672
Term 4,2004,SLS,Opposition,3.1340909090909093
Term 4,2004,SLS,Coalition,3.27578947368421
Term 4,2004,SDS,Opposition,2.674915254237288
Term 4,2004,SDS,Coalition,2.2880701754385964
Term 4,2004,NSi,Opposition,2.5069444444444446
Term 4,2004,LDS,Opposition,0.8238461538461538
Term 4,2004,LDS,Coalition,1.4845378151260504
Term 4,2004,NSi,Coalition,2.284375
Term 3,2004,ZLSD,Coalition,1.860949263502455
Term 4,2004,DeSUS,Coalition,3.72
Term 3,2004,LDS,Coalition,1.52434585492228
Term 3,2004,NSi,Opposition,0.968029268292683
Term 3,2004,SDS,Opposition,0.7827868852459017
Term 3,2004,DeSUS,Coalition,2.396153846153846
Term 3,2004,SLS,Opposition,1.336844262295082
Term 3,2004,SMS,Coalition,1.5673529411764706
Term 3,2004,SNS,Opposition,1.1215271966527198
Term 3,2004,SLS,Coalition,1.5619354838709678
Term 4,2005,SLS,Coalition,2.3978318584070797
Term 4,2005,DeSUS,Coalition,1.8942268041237114
Term 4,2005,LDS,Opposition,1.1105260443527591
Term 4,2005,NSi,Coalition,1.7788558855885588
Term 4,2005,SD,Opposition,1.357542768273717
Term 4,2005,SDS,Coalition,1.5916905901116427
Term 4,2005,SNS,Opposition,1.1352387448840382
Term 4,2006,SLS,Coalition,2.463822222222222
Term 4,2006,SNS,Opposition,0.82686175580222
Term 4,2006,SDS,Coalition,1.8258604091456077
Term 4,2006,SD,Opposition,1.269545934530095
Term 4,2006,NSi,Coalition,2.104620874219447
Term 4,2006,LDS,Opposition,0.8422422997946613
Term 4,2006,DeSUS,Coalition,1.9446650717703349
Term 4,2007,SLS,Coalition,2.5933333333333333
Term 4,2007,SDS,Coalition,1.6937348586810228
Term 4,2007,SD,Opposition,0.9921591948764867
Term 4,2007,SNS,Opposition,0.7410144927536233
Term 4,2007,LDS,Opposition,0.832728813559322
Term 4,2007,DeSUS,Coalition,1.7816774193548388
Term 4,2007,NSi,Coalition,2.098816489361702
Term 5,2008,SD,Coalition,2.493707865168539
Term 5,2008,Zares,Coalition,2.0183870967741937
Term 5,2008,SNS,Opposition,0.7108108108108109
Term 5,2008,SLS,Opposition,2.011739130434783
Term 5,2008,SLS,Coalition,2.815625
Term 5,2008,SDS,Opposition,1.3030392156862745
Term 5,2008,SDS,Coalition,1.3592857142857144
Term 5,2008,SD,Opposition,2.5999999999999996
Term 5,2008,LDS,Opposition,4.5
Term 4,2008,SLS,Coalition,2.5464080459770115
Term 5,2008,DeSUS,Coalition,2.9974074074074077
Term 4,2008,SNS,Opposition,0.8374594594594595
Term 4,2008,SDS,Coalition,1.6073989455184534
Term 4,2008,SD,Opposition,0.7856584821428572
Term 4,2008,NSi,Coalition,2.021349693251534
Term 4,2008,LDS,Opposition,0.8037074401008828
Term 4,2008,DeSUS,Coalition,1.6579757085020241
Term 5,2008,LDS,Coalition,2.3415
Term 5,2009,SNS,Opposition,0.9827529411764706
Term 5,2009,Zares,Coalition,1.4975750577367206
Term 5,2009,SLS,Opposition,1.7093468795355589
Term 5,2009,SD,Coalition,1.6327888655462184
Term 5,2009,LDS,Coalition,1.8777280858676209
Term 5,2009,DeSUS,Coalition,2.2007671957671957
Term 5,2009,SDS,Opposition,1.0707506053268765
Term 5,2010,SNS,Opposition,1.0103092783505154
Term 5,2010,DeSUS,Coalition,2.5542153846153846
Term 5,2010,LDS,Coalition,2.0473260073260073
Term 5,2010,SD,Coalition,1.7171354705274045
Term 5,2010,SDS,Opposition,0.8512471482889734
Term 5,2010,SLS,Opposition,1.4285967302452316
Term 5,2010,Zares,Coalition,1.5907503607503608
Term 6,2011,DeSUS,Opposition,1.0075
Term 6,2011,SD,Coalition,3.274
Term 5,2011,SDS,Opposition,0.7852261306532663
Term 6,2011,SLS,Opposition,2.77375
Term 5,2011,Zares,Opposition,1.1317730496453902
Term 6,2011,SDS,Opposition,1.3145454545454547
Term 5,2011,Zares,Coalition,1.4322434367541765
Term 5,2011,LDS,Coalition,2.0796192893401013
Term 5,2011,SLS,Opposition,1.3460449050086356
Term 5,2011,SD,Coalition,1.629266435986159
Term 5,2011,DeSUS,Opposition,2.6639583333333334
Term 5,2011,DeSUS,Coalition,2.817652173913044
Term 5,2011,SNS,Opposition,0.7889795918367347
Term 6,2012,SDS,Coalition,1.6019743178170145
Term 6,2012,SDS,Opposition,1.5327906976744186
Term 6,2012,SD,Opposition,0.9441645675902602
Term 6,2012,SLS,Opposition,1.76
Term 6,2012,SLS,Coalition,1.9864372469635627
Term 6,2012,SD,Coalition,1.5819565217391303
Term 6,2012,DL,Coalition,2.2176785714285714
Term 6,2012,NSi,Coalition,2.3106040268456374
Term 6,2012,DeSUS,Opposition,3.6072727272727274
Term 6,2012,DeSUS,Coalition,2.368045112781955
Term 6,2012,DLGV,Coalition,2.2314545454545454
Term 6,2012,PS,Opposition,0.9476565406075635
Term 6,2013,SLS,Opposition,1.2196644295302013
Term 6,2013,SLS,Coalition,1.8284
Term 6,2013,SDS,Opposition,0.6992394957983193
Term 6,2013,SDS,Coalition,1.401859296482412
Term 6,2013,SD,Opposition,1.3445901639344262
Term 6,2013,SD,Coalition,1.4467738095238094
Term 6,2013,PS,Opposition,1.3025941422594143
Term 6,2013,NSi,Opposition,1.32646484375
Term 6,2013,NSi,Coalition,1.9898245614035088
Term 6,2013,DeSUS,Opposition,2.2036363636363636
Term 6,2013,DeSUS,Coalition,2.3016605166051662
Term 6,2013,DL,Opposition,2.0269999999999997
Term 6,2013,DL,Coalition,1.7983864118895965
Term 6,2013,PS,Coalition,1.5731518987341773
Term 7,2014,NSi,Opposition,1.0085314685314686
Term 7,2014,ZaAB,Opposition,0.8741025641025642
Term 7,2014,ZL,Opposition,0.7094409937888199
Term 7,2014,SMC,Coalition,2.1635081967213114
Term 7,2014,SD,Coalition,2.2591803278688527
Term 7,2014,DeSUS,Coalition,2.2738255033557047
Term 7,2014,SDS,Opposition,0.5783968462549277
Term 6,2014,SDS,Opposition,0.6729999999999999
Term 6,2014,DL,Coalition,1.5574426229508196
Term 6,2014,DeSUS,Coalition,1.8808938547486034
Term 6,2014,NSi,Opposition,1.2894623655913977
Term 6,2014,SLS,Opposition,1.26059375
Term 6,2014,PS,Coalition,1.5569930069930071
Term 6,2014,SD,Coalition,1.388119658119658
Term 7,2015,DeSUS,Coalition,2.017593423019432
Term 7,2015,SD,Coalition,2.0681102362204724
Term 7,2015,SDS,Opposition,0.7895376549094376
Term 7,2015,SMC,Coalition,2.1675714285714283
Term 7,2015,ZL,Opposition,0.7501483050847457
Term 7,2015,ZaAB,Opposition,0.8643378995433789
Term 7,2015,NSi,Opposition,1.2338008415147266
Term 7,2016,SDS,Opposition,0.5548181338956246
Term 7,2016,SMC,Coalition,1.8792688679245282
Term 7,2016,ZL,Opposition,0.48517281105990784
Term 7,2016,SD,Coalition,1.971826923076923
Term 7,2016,DeSUS,Coalition,1.7923287671232877
Term 7,2016,NSi,Opposition,0.9683875162548765
Term 7,2017,DeSUS,Coalition,1.8499056603773585
Term 7,2017,Levica,Opposition,0.4362672811059908
Term 7,2017,NSi,Opposition,1.0901329787234042
Term 7,2017,SD,Coalition,1.9583125000000001
Term 7,2017,SDS,Opposition,0.6416874589625738
Term 7,2017,SMC,Coalition,1.8320943245403676
Term 7,2017,ZL,Opposition,0.42853828306264496
Term 8,2018,NSi,Opposition,1.1159712230215828
Term 8,2018,SMC,Coalition,1.805049504950495
Term 8,2018,SNS,Opposition,1.270843373493976
Term 8,2018,SDS,Opposition,0.7042050209205021
Term 8,2018,SD,Coalition,1.9730201342281881
Term 8,2018,SAB,Coalition,1.5856043956043955
Term 8,2018,Levica,Opposition,0.7626666666666666
Term 7,2018,Levica,Opposition,0.4811068702290076
Term 8,2018,DeSUS,Coalition,1.9428455284552846
Term 7,2018,SMC,Coalition,1.8762264150943395
Term 7,2018,SDS,Opposition,0.7954666666666667
Term 7,2018,SD,Coalition,1.9278260869565218
Term 7,2018,NSi,Opposition,1.1420879120879122
Term 7,2018,DeSUS,Coalition,1.904207650273224
Term 8,2018,LMŠ,Coalition,1.6253503184713376
Term 8,2019,SNS,Opposition,0.8292691029900332
Term 8,2019,SMC,Coalition,1.6752232142857142
Term 8,2019,SDS,Opposition,0.7234970364098222
Term 8,2019,SD,Coalition,1.8730046948356807
Term 8,2019,NSi,Opposition,1.146822429906542
Term 8,2019,Levica,Opposition,0.6805757196495619
Term 8,2019,LMŠ,Coalition,1.9532571428571428
Term 8,2019,DeSUS,Coalition,2.00322695035461
Term 8,2019,SAB,Coalition,1.80678391959799
Term 8,2020,SNS,Opposition,0.919324894514768
Term 8,2020,SMC,Coalition,1.723794642857143
Term 8,2020,SDS,Opposition,1.1473584905660377
Term 8,2020,SDS,Coalition,1.6836678832116787
Term 8,2020,SD,Opposition,1.161995332555426
Term 8,2020,SAB,Opposition,1.3844842105263158
Term 8,2020,SD,Coalition,1.6971153846153846
Term 8,2020,NSi,Opposition,1.1267857142857143
Term 8,2020,NSi,Coalition,2.297076923076923
Term 8,2020,Levica,Opposition,0.6535028248587571
Term 8,2020,LMŠ,Opposition,0.8836527621195039
Term 8,2020,LMŠ,Coalition,1.5397999999999998
Term 8,2020,DeSUS,Coalition,2.304361233480176
Term 8,2020,SAB,Coalition,1.2811363636363635
Term 8,2021,SNS,Opposition,1.2723684210526316
Term 8,2021,SMC,Coalition,2.4040677966101693
Term 8,2021,SDS,Coalition,1.615051724137931
Term 8,2021,SD,Opposition,0.9069106382978722
Term 8,2021,SAB,Opposition,1.09109479305741
Term 8,2021,Levica,Opposition,0.5259921414538311
Term 8,2021,LMŠ,Opposition,0.6924450549450549
