Speaker_party,Term,utt_annotations
DL,Term 6,1.8272364672364672
DLGV,Term 6,2.5538709677419353
DeSUS,Term 3,2.1689939939939937
DeSUS,Term 4,1.8607254290171606
DeSUS,Term 5,2.474092741935484
DeSUS,Term 6,2.2384
DeSUS,Term 7,1.9216122931442081
DeSUS,Term 8,2.213839918946302
Konkretno,Term 8,2.8956521739130436
LDS,Term 3,1.5786481113320079
LDS,Term 4,0.9270157709386005
LDS,Term 5,2.020019569471624
LMŠ,Term 8,1.0113701067615657
Levica,Term 7,0.4524964131994261
Levica,Term 8,0.609347137637028
Lipa,Term 4,0.8288354430379746
NP,Term 4,0.7055371900826447
NP,Term 5,1.3869209809264305
NP,Term 6,1.3322222222222222
NP,Term 7,1.2003720238095237
NP,Term 8,1.2125868725868727
NSi,Term 3,1.0995634285714286
NSi,Term 4,2.0090919474585953
NSi,Term 6,1.617125850340136
NSi,Term 7,1.089758472925594
NSi,Term 8,1.8897238204833142
NeP,Term 3,1.5695000000000001
NeP,Term 4,0.9977027027027027
NeP,Term 5,1.0096045197740113
NeP,Term 6,1.0876901408450703
NeP,Term 7,0.549939393939394
NeP,Term 8,1.3763636363636365
PS,Term 5,0.42
PS,Term 6,1.2415276035131744
SAB,Term 8,1.356526854219949
SD,Term 4,1.0795026543727297
SD,Term 5,1.6873650385604113
SD,Term 6,1.2340657802659203
SD,Term 7,2.014906152241919
SD,Term 8,1.2101013277428372
SDS,Term 3,0.9449737335834897
SDS,Term 4,1.7087888967468174
SDS,Term 5,0.9328332719007248
SDS,Term 6,0.9318019181113979
SDS,Term 7,0.6658486646884273
SDS,Term 8,1.2482402386117137
SLS,Term 3,1.5681035485747528
SLS,Term 4,2.508390045708482
SLS,Term 5,1.5146630859375
SLS,Term 6,1.5222477995937713
SLS+SKD,Term 3,1.6052657601977751
SMC,Term 7,1.9767888498683055
SMC,Term 8,1.8885310344827586
SMS,Term 3,1.6724539007092198
SNS,Term 3,1.2011472868217052
SNS,Term 4,0.8922894736842105
SNS,Term 5,0.9411413612565445
SNS,Term 8,1.065653883972468
ZL,Term 7,0.5955628594905505
ZLSD,Term 3,1.9606360745115854
ZLSD,Term 4,1.063719599427754
ZaAB,Term 6,1.9942857142857144
ZaAB,Term 7,0.8925245901639345
Zares,Term 4,0.7118312387791742
Zares,Term 5,1.5231213613972234
